names,prices
"Glaze 32 Inch Smart Android TV Netflix,Youtube,APP Store","KSh 14,890"
"Vitron 4388FS,43 INCH SMART Android TV FULL HD,Netflix,Youtube + FREE TV Guard","KSh 25,999"
"Gld 32"" INCHES TV Smart,FRAMELESS, Android,Youtube,","KSh 15,289"
"CTC 19"" Inch,LED Digital TV,USB PORT,HDMI +FREE 32GB FLASH DISK","KSh 6,420"
"Vitron 32"" Inches HD Digital TV,USB+HDMI+FREE 32GB FLASH DISK","KSh 14,899"
"Hisense 32” ANDROID TV, NETFLIX, YOUTUBE, BLUETOOTH 32B6600PA","KSh 27,000"
"Wyinix WY40D19D,40"" Inch Smart Android TV WIFI Netflix, Youtube,Playstore","KSh 20,399"
"Glaze 24"" INCH- Digital LED TV - Black WITH INBUILT DECODER","KSh 10,499"
"TRINITY TR-3258S 32"" Inch Smart Android TV Netflix Youtube Google Play+ 3 FREE GIFTS","KSh 15,299"
"Vitron 32"" Inches HD Digital TV,USB+HDMI,INBUILT DECODER+32GB FLASH DISK","KSh 14,799"
"X96 TV Box / Android Box - 4K, 1GB Ram, 8GB Memory, Android 9.0","KSh 3,850"
"Hisense 40'' FRAMELESS SMART A4 SERIES NETFLEX, YOUTUBE + FREE GIFTS","KSh 38,999"
"Infinix 43'' FULL HD ANDROID TV, FRAMELESS, PRIME AMAZON, YOU-TUBE 43X1","KSh 37,000"
"Vitron 32 Inch Smart Android TV WIFI,Netflix,Youtube HTC3268S","KSh 15,899"
"Skyworth 43” Android TV,WI-FI, Netflix ,YouTube","KSh 32,499"
"Nobel 55'' 4K ULTRA HD ANDROID TV, FRAMELESS, CHROMECAST,NETFLIX, NB55UHD","KSh 49,500"
"Vitron 40"" Inch Smart TV Inbuilt WIFI Netflix, Youtube+Free Gifts","KSh 25,599"
"Gld 40"" Inch SMART Android TV,NETFLIX,YOUTUBE+32GB FLASH DISK","KSh 21,999"
"CTC 40 Inch Smart Android 9.0TV TV Youtube Netflix 8GBROM,1GBRAM","KSh 21,899"
Samsung 43 INCH 43T5300 Smart LED Full HD TV - Black,"KSh 43,999"
"Vitron 32 Inch Smart Android TV Inbuilt WIFI,Netflix,Youtube  HTC3268S","KSh 15,299"
"CTC HD 23 Inches,LED Digital TV,USB PORT,HDMI +32GB FLASH DISK","KSh 8,999"
"Hisense 40'' SMART TV -A4 SERIES Netfix,Youtube","KSh 37,499"
"Royal Frameless ,43 Inch SMART Android TV, Netfix,Youtube","KSh 26,900"
"Gld 40"" Inches Smart TV+FREE 7 GIFTS","KSh 23,499"
"Vitron HTC3268S,32 Inch Smart Android TV + Aerial & Cable & Cable Clips","KSh 16,388"
Gld Frameless Smart Android TV Bluetooth,"KSh 14,999"
"Vitron 40 Inch 4068FS SMART ANDROID TV, NETFLIX, YOU-TUBE","KSh 24,200"
"Nobel 43” FRAMELESS FULL HD ANDROID TV, NETFLIX, YOUTUBE NB43","KSh 32,000"
Hisense 55 Inch Smart Android 4k UHD TV,"KSh 58,995"
,
,
,
,
,
,
,
,
"TCL 43"" 43D3000 - Digital LED TV - Black","KSh 31,490"
"Vision VP8832SF,32""inch Frameless HD Smart Android TV Bluetooth+FREE Wall Mount","KSh 16,287"
"Royal 43"" Inch SMART Android TV Netfix, Youtube","KSh 25,399"
"CTC 19"" Inch,LED Digital TV,USB PORT,HDMI+INBUILT DECODER","KSh 6,220"
"CTC 26""INCHES HD-Digital LED TV - HDMI,USB PORT-INBUILT DECODER+FREE AERIAL","KSh 10,450"
"Vision Plus 32"" Inch Frameless Smart Android TV+FREE 32GB Flash+Aerial+Audio Cable+Cap","KSh 18,799"
"CTC 32A06S,32 Inch Smart Android TV InbuiltWIFI Netflix,Youtube+TV Guard+Bracket","KSh 15,699"
"Sony 32'' HD READY SMART TV, HDR, X-REALITY, YOUTUBE -32W600D","KSh 38,000"
"Syinix 32'' FRAMELESS ANDROID TV, VOICE CONTROL, NETFLIX A20 SERIES","KSh 25,000"
"Vitron 4388FS ""43"" Inch FHD Smart Android TV","KSh 24,998"
"Royal 32"" Inch Digital LED TV Inbuilt Decoder","KSh 13,250"
"Syinix 43A51,43"" Inches Frameless FHD Smart Android TV A51 Series +Free TVGuard+Bracket","KSh 32,999"
"Hisense 40"" FHD Smart Frameless TV – Black,2021 Model","KSh 31,999"
"Vitron SMART Android TV 43"" Inch,NETFLIX,YOUTUBE+FREE WALL BRACKET","KSh 27,999"
"Royal 43"" Full HD Smart Android Frameless LED TV, Youtube - Black","KSh 25,599"
"Gld 40HD39L20,40"" Inch Smart Android TV With Bluetooth,Youtube,Netflix,AppStore","KSh 20,498"
"TCL 32""Inch FRAMELESS SMART ANDROID TV+TVGuard+Wall Mount","KSh 22,999"
"Glaze 43"" Inch Full HD Smart Android TV WIFI +FREE GIFTS","KSh 25,989"
"Royal 43"" Inch SMART Android TV Netfix,Youtube+Free Gifts","KSh 27,190"
"Sony 32'' HD SMART ANDROID TV,  BUILT-IN WIFI, NETFLIX, YOU-TUBE HTC3268S","KSh 22,000"
"Gld 40HD39L20,40"" Inch Smart Android TV Bluetooth TV,AppStore","KSh 20,499"
"Vitron 32 Inch Smart Android TV Inbuilt WIFI,Netflix,Youtube+ FREE GIFTS","KSh 15,369"
"Amtec 43L20 43"" Inch TV SMART Android TV+ FREE GIFTS","KSh 25,999"
"TCL 50” FRAMELESS 4K ULTRA HD ANDROID TV, VOICE CONTROL 50P618","KSh 58,000"
"Vitron 32"" Inch Smart Android Tv,Netflix,Youtube,Facebook + FREE Gifts","KSh 17,199"
"Itel G322,32 Inch Smart Android 9.0 TV G-Series Television Chromecast 1GBRAM,8GBROM","KSh 15,795"
"CTC 32 Inch Smart Android TV Inbuilt Decoder Netflix,Youtube","KSh 14,998"
"Vitron 32"" Inch Smart Android Tv,Netflix,Youtube,Facebook+Free Gifts","KSh 17,290"
"LG 43"" LED TV - Smart, Full HD","KSh 40,995"
TCL 43'' Smart Android UHD 4K Frameless TV  WITH FREE GIFTS,"KSh 42,999"
"Vision Plus VP8843SF,43"",Frameless FHD Smart Android Bluetooth+ FREE GIFTS","KSh 31,500"
"Ica HD 24” Inches,LED Digital TV -INBUILT DECODER,USB And HDMI Port","KSh 10,500"
"Glaze _43 Inch Full HD Smart Android TV WIFI Netflix, Youtube TV","KSh 24,499"
"Infinix 43'' FULL HD ANDROID TV, FRAMELESS, BUILT-IN WI-FI, YOU-TUBE 43X1","KSh 37,000"
"Sony 65"" 65X8000J HDR SmartAndroid LCD UltraHD 4K TV 2021 - Black","KSh 114,995"
"Wyinix 40"" Inch Smart Android TV WIFI Netflix, Youtube,Playstore","KSh 20,299"
Jpe 55 Inch 4K ULTRA HD Frameless LED Smart TV,"KSh 59,000"
"Vitron HTC4068S,40"" Inch Smart Android TV AppStore + 6 FREE GIFTS","KSh 24,999"
Hisense 32 Inches Smart Frameless 32A6 + Free Wall Mount,"KSh 23,999"
"EEFA D32N218S 32 Inch FRAMELESS Smart Android Bluetooth TV,Netflix,Youtube+FREE GIFTS","KSh 17,999"
,
,
,
,
,
,
,
,
"Hisense 43” FRAMELESS FULL HD ANDROID TV, NETFLIX, YOUTUBE 43A6200F","KSh 43,000"
"CTC 40"" Inch Smart TV,Android,Youtube,USB& HDMI PORTS+WI-FI ACCESS","KSh 20,999"
"TCL 43'' ANDROID TV, NETFLIX, WIFI, HDR, BLUETOOTH-43S65A  +Free Tshirt","KSh 36,000"
Hisense REF092DR - 92L Single Door Fridge - Silver,"KSh 21,499"
"Glaze 43"" Inch SMART ANDROID TV,NETFLIX,YOUTUBE+TILT WALL MOUNT","KSh 26,999"
"Samsung 43'' FULL HD SMART TV, BUILT-IN WI-FI, HDR, NETFLIX 43T5300","KSh 48,500"
"Vitron 32"" Inch SMART ANDROID TV,USB,HDMI PORTS,NETFLIX+1 YEAR WARRANTRY","KSh 15,999"
"Itel 32 Inch Smart Android 9.0 TV G-Series 1GBRAM,8GBROM+FREE","KSh 15,799"
"Wyinix WY40D19D,40"" Inch Smart Android TV WIFI Netflix, Youtube,Playstore","KSh 20,795"
TCL 43INCH SMART ANDROID TV FULL HD FRAMELESS 43S65A,"KSh 36,000"
Hisense 65A6GKEN – 65” Smart 4k UHD Frameless TV – Black,"KSh 91,995"
"Vision 43"" Frameless FHD Smart Bluetooth LED TV - Black + 3 Free Gifts","KSh 30,599"
"Hisense 55” 4K UHD 2021 LATEST MODEL,VOICE CONTROL,WI-FI,FRAMELESS,4K HDR-55A61G","KSh 62,000"
X96 TV Box / Android Box / Android TV Box - 4K UHD Support,"KSh 3,850"
"Vitron 32"" Inch HD LED Digital TV,USB+HDMI,DECODER+TILT WALL BRACKET","KSh 13,799"
"Vision Plus 50"" Frameless 4K UHD Smart Android TV - Black","KSh 42,999"
Hisense 43” 43S4 Full HD Digital LED Smart TV,"KSh 35,799"
"Gld 40"" Inch SMART Android TV,NETFLIX,YOUTUBE+TV GUARD+EXTENSION","KSh 21,999"
"Vitron 32"" Inch Smart Android Tv,Netflix,Youtube,Facebook+ 4 FREE Gifts","KSh 17,290"
"Gld 40"" Inch Smart TV,Android,Youtube,USB,HDMI PORTS+WIFI ACCESS","KSh 20,999"
"Vitron 32"" Inch Smart Android TV Netflix Youtube Inbuilt Decoder","KSh 16,000"
"Vitron HD 24” Inches,LED Digital TV -INBUILT DECODER,USB And HDMI Port","KSh 11,600"
